Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES,SQ_BUSY_CYCLES,SQC_LDS_BANK_CONFLICT
41,"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>) [clone .kd]",1,1,0,29469,29469,1024,1024,512,0,16,0,128,32,0x0,0x70d7486f6bc0,32,4599,0
42,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,1,29469,29469,65536,256,9216,0,96,0,128,32,0x0,0x70d747b2d9c0,2048,204672,0
43,"void rope_norm<true, true, float, float>(float const*, float*, int, int, int, int, int, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, long const*, int) [clone .kd]",1,1,2,29469,29469,8192,256,0,0,24,0,128,32,0x0,0x70d7482975c0,256,118846,0
44,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,3,29469,29469,16384,256,0,0,72,0,128,32,0x0,0x70d747b2cfc0,512,176904,0
45,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,4,29469,29469,16384,256,9216,0,96,0,128,32,0x0,0x70d747b2d9c0,512,201040,0
46,"void rope_norm<true, true, float, __half>(float const*, __half*, int, int, int, int, int, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, long const*, int) [clone .kd]",1,1,5,29469,29469,2048,256,0,0,24,0,128,32,0x0,0x70d748297640,64,32189,0
47,"void k_set_rows<float, long, __half>(float const*, long const*, __half*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>) [clone .kd]",1,1,6,29469,29469,512,256,0,0,24,0,128,32,0x0,0x70d7486cbd00,16,8024,0
48,"void mul_mat_vec_f<__half, float, 1, 32, false, false>(__half const*, float const*, int const*, ggml_cuda_mm_fusion_args_device, float*, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int) [clone .kd]",1,1,7,29469,29469,262144,32,512,0,16,0,128,32,0x0,0x70d4996a7d00,8192,425077,0
49,"void soft_max_f32<true, 256, 256, float>(float const*, float const*, float const*, float*, soft_max_params) [clone .kd]",1,1,8,29469,29469,8192,256,1536,0,24,0,128,32,0x0,0x70d747fc98c0,256,115507,0
50,"void mul_mat_vec_f<__half, __half, 1, 128, false, false>(__half const*, float const*, int const*, ggml_cuda_mm_fusion_args_device, float*, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int) [clone .kd]",1,1,9,29469,29469,262144,128,512,0,16,0,128,32,0x0,0x70d4996a6880,8192,437406,0
51,"__amd_rocclr_copyBuffer.kd",1,1,10,29469,29469,512,512,0,0,16,0,128,32,0x0,0x70d74a1cd7c0,16,5331,0
52,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,11,29469,29469,65536,256,9216,0,96,0,128,32,0x0,0x70d747b2d980,2048,185624,0
53,"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>) [clone .kd]",1,1,12,29469,29469,1024,1024,512,0,16,0,128,32,0x0,0x70d7486f6bc0,32,3483,0
54,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,13,29469,29469,262144,256,9216,0,104,0,128,32,0x0,0x70d747b2da00,8192,3065064,0
55,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>) [clone .kd]",1,1,14,29469,29469,8192,256,0,0,16,0,128,32,0x0,0x70d748692700,256,131092,0
56,"void mul_mat_vec_q<(ggml_type)10, 1, true, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int) [clone .kd]",1,1,15,29469,29469,65536,32,0,0,48,0,128,32,0x0,0x70d498267840,2048,221404,0
57,"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>) [clone .kd]",1,1,16,29469,29469,1024,1024,512,0,16,0,128,32,0x0,0x70d7486f6bc0,32,3554,0
58,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,17,29469,29469,65536,256,9216,0,96,0,128,32,0x0,0x70d747b2d9c0,2048,181832,0
59,"void rope_norm<true, true, float, float>(float const*, float*, int, int, int, int, int, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, long const*, int) [clone .kd]",1,1,18,29469,29469,8192,256,0,0,24,0,128,32,0x0,0x70d7482975c0,256,131148,0
