Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES
117,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,76,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
119,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,78,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
121,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,80,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
122,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,81,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
129,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,88,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
131,"void tmac_gemv_fused_glu<(ggml_type)16, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,90,3413214,3413214,262144,256,9216,0,104,0,128,32,0x0,0x78416952da00,8192
132,"void tmac_gemv_direct<(ggml_type)16, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,91,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d980,2048
134,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,93,3413214,3413214,65536,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,2048
136,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,95,3413214,3413214,16384,256,0,0,72,0,128,32,0x0,0x78416952cfc0,512
137,"void tmac_gemv_direct<(ggml_type)16, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,96,3413214,3413214,16384,256,9216,0,96,0,128,32,0x0,0x78416952d9c0,512
