Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES
408,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,363,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
410,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,365,3412894,3412894,262144,256,0,0,80,0,128,32,0x0,0x73fe2792d000,8192
411,"void tmac_gemv_direct<(ggml_type)14, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,366,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792d380,2048
413,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,368,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,2048
415,"void tmac_gemv_direct<(ggml_type)14, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,370,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792d3c0,512
416,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,371,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
423,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,378,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
425,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,380,3412894,3412894,262144,256,0,0,80,0,128,32,0x0,0x73fe2792d000,8192
426,"void tmac_gemv_direct<(ggml_type)14, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,381,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792d380,2048
428,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,383,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,2048
430,"void tmac_gemv_direct<(ggml_type)14, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,385,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792d3c0,512
431,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,386,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
438,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,393,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
440,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,395,3412894,3412894,262144,256,0,0,80,0,128,32,0x0,0x73fe2792d000,8192
441,"void tmac_gemv_direct<(ggml_type)14, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,396,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792d380,2048
443,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,398,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,2048
445,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,400,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
446,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,401,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
453,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,408,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
455,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,410,3412894,3412894,262144,256,0,0,80,0,128,32,0x0,0x73fe2792d000,8192
456,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,411,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
458,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,413,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,2048
460,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,415,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
461,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,416,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
468,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,423,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
470,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,425,3412894,3412894,262144,256,0,0,80,0,128,32,0x0,0x73fe2792d000,8192
471,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,426,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
473,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,428,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,2048
475,"void tmac_gemv_direct<(ggml_type)14, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,430,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792d3c0,512
476,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,431,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
483,"void tmac_gemv_direct<(ggml_type)12, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,438,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cf80,2048
485,"void tmac_gemv_fused_glu<(ggml_type)12, (ggml_glu_op)2>(float*, void const*, void const*, float const*, int, int, int const*, long, int) [clone .kd]",1,1,440,3412894,3412894,262144,256,0,0,80,0,128,32,0x0,0x73fe2792d000,8192
486,"void tmac_gemv_direct<(ggml_type)14, true>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,441,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792d380,2048
488,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,443,3412894,3412894,65536,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,2048
490,"void tmac_gemv_direct<(ggml_type)12, false>(float*, void const*, float const*, int, int, int const*, long, int, long, float const*) [clone .kd]",1,1,445,3412894,3412894,16384,256,0,0,72,0,128,32,0x0,0x73fe2792cfc0,512
